[INFO] Capture started.
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53995 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55774 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55774 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 495 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 22 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 37 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53995 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:49289 | DST: 142.251.220.163:443 | 33 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53995 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55774 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55774 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.174:443 | DST: 192.168.18.23:59630 | 28 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.163:443 | DST: 192.168.18.23:49289 | 23 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55774 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55774 | DST: 192.168.18.1:53 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:55774 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:55774 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.174:443 | DST: 192.168.18.23:59630 | 24 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53995 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53995 | DST: 192.168.18.1:53 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:59630 | DST: 142.251.220.174:443 | 32 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53995 | FIN-ACK (Connection closing) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53995 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 76 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 1069 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 201 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 40 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] UDP | SRC: 142.251.220.150:443 | DST: 192.168.18.23:50837 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53165 | DST: 192.168.18.1:53 | SYN (Connection request) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:64398 | DST: 192.168.18.1:53 | SYN (Connection request) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53165 | SYN-ACK (Connection accepted) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53165 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:64398 | SYN-ACK (Connection accepted) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:64398 | DST: 192.168.18.1:53 | ACK (DNS)
[2026-02-28 03:29:32] UDP | SRC: 192.168.18.23:50837 | DST: 142.251.220.150:443 | 1250 bytes (HTTPS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:64398 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:64398 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53165 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.23:53165 | DST: 192.168.18.1:53 | PSH-ACK (Data push) (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:64398 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:64398 | ACK (DNS)
[2026-02-28 03:29:32] TCP | SRC: 192.168.18.1:53 | DST: 192.168.18.23:53165 | ACK (DNS)
